Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Average,Beginner,Poor,Poor,Beginner,Intermediate,Professional,Intermediate,Beginner,Poor,Professional,Average,Professional,Average,Intermediate,Professional,Poor,Professional,Video Editor
Intermediate,Professional,Professional,Professional,Beginner,Professional,Average,Beginner,Intermediate,Beginner,Intermediate,Intermediate,Poor,Average,Professional,Average,Intermediate,Intermediate,Video Editor
Intermediate,Beginner,Professional,Poor,Average,Beginner,Beginner,Poor,Poor,Intermediate,Beginner,Intermediate,Poor,Average,Intermediate,Intermediate,Poor,Poor,Video Editor
Beginner,Beginner,Intermediate,Poor,Beginner,Beginner,Intermediate,Poor,Average,Poor,Poor,Intermediate,Average,Beginner,Average,Intermediate,Average,Poor,Video Editor
Average,Professional,Professional,Beginner,Beginner,Beginner,Professional,Professional,Professional,Professional,Poor,Average,Beginner,Intermediate,Average,Professional,Intermediate,Beginner,Video Editor
Intermediate,Average,Intermediate,Average,Poor,Professional,Intermediate,Beginner,Poor,Professional,Poor,Intermediate,Professional,Intermediate,Average,Average,Average,Professional,Video Editor
Intermediate,Average,Beginner,Professional,Average,Professional,Professional,Poor,Poor,Beginner,Beginner,Average,Professional,Beginner,Average,Professional,Average,Intermediate,Video Editor
Intermediate,Intermediate,Intermediate,Beginner,Professional,Professional,Intermediate,Professional,Beginner,Beginner,Average,Poor,Average,Average,Professional,Intermediate,Professional,Professional,Video Editor
Poor,Beginner,Poor,Beginner,Professional,Intermediate,Professional,Poor,Intermediate,Intermediate,Beginner,Intermediate,Poor,Poor,Beginner,Poor,Intermediate,Average,Video Editor
Poor,Average,Beginner,Poor,Beginner,Beginner,Beginner,Average,Beginner,Average,Poor,Beginner,Average,Beginner,Average,Intermediate,Beginner,Beginner,Video Editor
Professional,Poor,Professional,Beginner,Average,Poor,Average,Beginner,Professional,Beginner,Average,Poor,Professional,Poor,Poor,Intermediate,Average,Beginner,Video Editor
Beginner,Professional,Professional,Professional,Poor,Beginner,Beginner,Average,Beginner,Intermediate,Poor,Beginner,Professional,Professional,Poor,Intermediate,Average,Professional,Video Editor
Poor,Professional,Intermediate,Average,Intermediate,Professional,Intermediate,Average,Beginner,Professional,Intermediate,Average,Beginner,Poor,Average,Poor,Intermediate,Intermediate,Video Editor
Intermediate,Intermediate,Poor,Poor,Average,Intermediate,Average,Beginner,Average,Beginner,Average,Beginner,Professional,Beginner,Professional,Average,Professional,Average,Video Editor
Professional,Intermediate,Beginner,Average,Average,Beginner,Average,Average,Beginner,Intermediate,Beginner,Professional,Professional,Professional,Average,Beginner,Average,Poor,Video Editor
Beginner,Intermediate,Poor,Poor,Intermediate,Average,Professional,Intermediate,Beginner,Intermediate,Poor,Professional,Average,Professional,Beginner,Professional,Professional,Professional,Video Editor
Professional,Intermediate,Poor,Beginner,Beginner,Poor,Average,Intermediate,Average,Intermediate,Poor,Professional,Poor,Professional,Beginner,Poor,Professional,Beginner,Video Editor
Average,Poor,Average,Intermediate,Average,Poor,Intermediate,Beginner,Poor,Professional,Professional,Average,Professional,Poor,Intermediate,Poor,Beginner,Professional,Video Editor
Professional,Beginner,Intermediate,Professional,Intermediate,Professional,Professional,Intermediate,Average,Average,Beginner,Intermediate,Poor,Beginner,Professional,Average,Average,Professional,Video Editor
Poor,Professional,Poor,Average,Professional,Intermediate,Intermediate,Average,Professional,Beginner,Poor,Average,Intermediate,Intermediate,Beginner,Beginner,Poor,Professional,Video Editor
Beginner,Intermediate,Professional,Professional,Professional,Poor,Intermediate,Professional,Beginner,Poor,Poor,Intermediate,Intermediate,Average,Poor,Professional,Professional,Intermediate,Video Editor
Beginner,Beginner,Average,Average,Professional,Intermediate,Average,Intermediate,Average,Poor,Average,Intermediate,Average,Professional,Intermediate,Beginner,Poor,Professional,Video Editor
Professional,Average,Beginner,Poor,Poor,Beginner,Professional,Intermediate,Beginner,Beginner,Average,Poor,Poor,Average,Poor,Professional,Poor,Beginner,Video Editor
Poor,Poor,Average,Professional,Professional,Poor,Professional,Beginner,Intermediate,Poor,Intermediate,Professional,Poor,Average,Intermediate,Intermediate,Average,Professional,Video Editor
Beginner,Average,Poor,Beginner,Beginner,Average,Poor,Professional,Average,Professional,Average,Intermediate,Poor,Intermediate,Average,Average,Beginner,Poor,Video Editor
Beginner,Professional,Beginner,Average,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Beginner,Professional,Professional,Intermediate,Intermediate,Beginner,Professional,Professional,Video Editor
Intermediate,Beginner,Intermediate,Average,Professional,Intermediate,Intermediate,Average,Poor,Beginner,Poor,Poor,Professional,Poor,Intermediate,Average,Average,Professional,Video Editor
Professional,Average,Average,Beginner,Average,Intermediate,Average,Professional,Beginner,Beginner,Professional,Poor,Average,Average,Professional,Intermediate,Average,Intermediate,Video Editor
Beginner,Intermediate,Average,Beginner,Poor,Professional,Intermediate,Beginner,Intermediate,Average,Beginner,Poor,Professional,Professional,Professional,Intermediate,Average,Intermediate,Video Editor
Intermediate,Average,Professional,Average,Beginner,Beginner,Professional,Poor,Beginner,Intermediate,Beginner,Poor,Poor,Professional,Professional,Beginner,Professional,Beginner,Video Editor
Beginner,Average,Average,Poor,Professional,Beginner,Beginner,Average,Beginner,Poor,Professional,Beginner,Professional,Professional,Intermediate,Beginner,Intermediate,Poor,Video Editor
Beginner,Professional,Intermediate,Poor,Beginner,Beginner,Average,Professional,Poor,Average,Intermediate,Beginner,Intermediate,Intermediate,Beginner,Beginner,Poor,Intermediate,Video Editor
Intermediate,Intermediate,Professional,Intermediate,Beginner,Beginner,Beginner,Poor,Beginner,Average,Intermediate,Beginner,Poor,Beginner,Beginner,Professional,Poor,Intermediate,Video Editor
Professional,Intermediate,Beginner,Professional,Intermediate,Professional,Beginner,Average,Poor,Poor,Professional,Beginner,Beginner,Beginner,Beginner,Intermediate,Professional,Poor,Video Editor
Poor,Professional,Intermediate,Poor,Beginner,Average,Poor,Beginner,Beginner,Intermediate,Professional,Professional,Intermediate,Poor,Average,Average,Poor,Beginner,Video Editor
Professional,Average,Poor,Intermediate,Intermediate,Professional,Beginner,Intermediate,Poor,Poor,Average,Average,Professional,Professional,Poor,Intermediate,Beginner,Average,Video Editor
Poor,Average,Poor,Poor,Beginner,Intermediate,Average,Professional,Beginner,Beginner,Average,Professional,Intermediate,Beginner,Average,Poor,Professional,Beginner,Video Editor
Poor,Intermediate,Beginner,Intermediate,Average,Poor,Beginner,Average,Beginner,Beginner,Beginner,Poor,Professional,Poor,Poor,Intermediate,Poor,Poor,Video Editor
Beginner,Professional,Average,Professional,Average,Poor,Average,Poor,Average,Professional,Poor,Average,Average,Professional,Beginner,Average,Intermediate,Professional,Video Editor
Professional,Average,Beginner,Beginner,Poor,Professional,Average,Intermediate,Average,Professional,Intermediate,Poor,Beginner,Professional,Professional,Professional,Intermediate,Professional,Video Editor
Poor,Average,Professional,Beginner,Professional,Beginner,Poor,Intermediate,Professional,Professional,Average,Intermediate,Average,Beginner,Average,Intermediate,Professional,Professional,Video Editor
Professional,Poor,Beginner,Professional,Professional,Poor,Beginner,Poor,Intermediate,Intermediate,Average,Intermediate,Professional,Beginner,Poor,Poor,Average,Professional,Video Editor
Beginner,Intermediate,Average,Poor,Average,Beginner,Beginner,Poor,Poor,Professional,Professional,Poor,Intermediate,Intermediate,Poor,Poor,Average,Professional,Video Editor
Intermediate,Intermediate,Average,Intermediate,Average,Intermediate,Professional,Intermediate,Intermediate,Professional,Average,Professional,Poor,Intermediate,Poor,Professional,Poor,Intermediate,Video Editor
Poor,Beginner,Professional,Beginner,Intermediate,Average,Intermediate,Beginner,Average,Poor,Professional,Intermediate,Poor,Beginner,Professional,Poor,Professional,Professional,Video Editor
Professional,Poor,Poor,Average,Average,Professional,Poor,Poor,Average,Beginner,Poor,Beginner,Beginner,Professional,Intermediate,Poor,Intermediate,Average,Video Editor
Intermediate,Average,Average,Beginner,Poor,Average,Beginner,Poor,Poor,Poor,Professional,Average,Average,Professional,Average,Beginner,Intermediate,Intermediate,Video Editor
Professional,Intermediate,Intermediate,Beginner,Intermediate,Professional,Intermediate,Beginner,Poor,Professional,Professional,Poor,Intermediate,Beginner,Professional,Professional,Intermediate,Average,Video Editor
Beginner,Beginner,Professional,Professional,Poor,Beginner,Poor,Poor,Beginner,Beginner,Average,Intermediate,Intermediate,Average,Average,Professional,Poor,Intermediate,Video Editor
Beginner,Professional,Professional,Intermediate,Poor,Average,Average,Average,Poor,Average,Average,Poor,Poor,Average,Intermediate,Poor,Beginner,Professional,Video Editor
Poor,Poor,Beginner,Beginner,Professional,Beginner,Professional,Poor,Average,Professional,Poor,Intermediate,Poor,Poor,Professional,Poor,Intermediate,Average,Video Editor
Poor,Average,Poor,Intermediate,Beginner,Beginner,Professional,Professional,Average,Poor,Poor,Intermediate,Poor,Poor,Beginner,Professional,Poor,Poor,Video Editor
Poor,Average,Average,Beginner,Intermediate,Beginner,Poor,Professional,Intermediate,Average,Intermediate,Average,Poor,Intermediate,Beginner,Poor,Professional,Professional,Video Editor
Average,Professional,Professional,Average,Intermediate,Professional,Average,Beginner,Intermediate,Beginner,Professional,Intermediate,Beginner,Intermediate,Professional,Beginner,Poor,Poor,Video Editor
Professional,Poor,Average,Professional,Beginner,Average,Poor,Beginner,Professional,Average,Intermediate,Average,Beginner,Intermediate,Intermediate,Beginner,Poor,Intermediate,Video Editor
Beginner,Beginner,Professional,Intermediate,Professional,Beginner,Intermediate,Professional,Professional,Professional,Average,Professional,Poor,Beginner,Average,Poor,Intermediate,Beginner,Video Editor
Average,Beginner,Beginner,Intermediate,Professional,Poor,Poor,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Average,Intermediate,Average,Beginner,Beginner,Poor,Video Editor
Professional,Average,Intermediate,Beginner,Intermediate,Poor,Poor,Intermediate,Poor,Beginner,Beginner,Poor,Poor,Beginner,Poor,Average,Intermediate,Beginner,Video Editor
Poor,Average,Intermediate,Professional,Professional,Professional,Intermediate,Professional,Poor,Poor,Average,Professional,Professional,Average,Average,Average,Poor,Intermediate,Video Editor
Poor,Professional,Intermediate,Professional,Professional,Intermediate,Professional,Professional,Poor,Poor,Poor,Intermediate,Intermediate,Professional,Intermediate,Poor,Intermediate,Average,Video Editor
Intermediate,Intermediate,Intermediate,Poor,Average,Average,Average,Poor,Average,Beginner,Beginner,Professional,Average,Beginner,Beginner,Professional,Average,Beginner,Video Editor
Poor,Beginner,Average,Professional,Professional,Poor,Beginner,Poor,Average,Intermediate,Intermediate,Average,Professional,Intermediate,Intermediate,Intermediate,Poor,Beginner,Video Editor
Professional,Average,Intermediate,Professional,Professional,Average,Poor,Beginner,Intermediate,Professional,Beginner,Beginner,Poor,Intermediate,Beginner,Beginner,Intermediate,Average,Video Editor
Poor,Beginner,Professional,Beginner,Average,Intermediate,Beginner,Average,Professional,Average,Poor,Poor,Beginner,Average,Professional,Beginner,Average,Poor,Video Editor
Beginner,Average,Intermediate,Professional,Professional,Average,Professional,Poor,Intermediate,Beginner,Professional,Beginner,Beginner,Professional,Intermediate,Beginner,Average,Intermediate,Video Editor
Poor,Average,Professional,Professional,Average,Intermediate,Average,Poor,Average,Professional,Average,Poor,Average,Intermediate,Intermediate,Intermediate,Poor,Beginner,Video Editor
Beginner,Intermediate,Average,Poor,Average,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Average,Poor,Poor,Professional,Intermediate,Video Editor
Intermediate,Professional,Poor,Professional,Beginner,Professional,Beginner,Intermediate,Average,Intermediate,Professional,Beginner,Intermediate,Average,Professional,Professional,Beginner,Average,Video Editor
Intermediate,Poor,Beginner,Beginner,Professional,Average,Intermediate,Professional,Intermediate,Poor,Average,Professional,Average,Professional,Intermediate,Professional,Professional,Intermediate,Video Editor
Intermediate,Beginner,Intermediate,Professional,Poor,Beginner,Poor,Professional,Professional,Poor,Average,Intermediate,Professional,Intermediate,Intermediate,Poor,Average,Intermediate,Video Editor
Professional,Professional,Professional,Average,Average,Professional,Professional,Professional,Beginner,Beginner,Professional,Beginner,Poor,Beginner,Average,Professional,Poor,Beginner,Video Editor
Poor,Intermediate,Professional,Beginner,Professional,Average,Average,Average,Intermediate,Professional,Intermediate,Average,Professional,Poor,Intermediate,Professional,Average,Professional,Video Editor
Professional,Poor,Intermediate,Intermediate,Beginner,Intermediate,Professional,Poor,Professional,Professional,Average,Beginner,Average,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Video Editor
Average,Beginner,Intermediate,Average,Beginner,Beginner,Poor,Poor,Intermediate,Average,Beginner,Intermediate,Average,Intermediate,Intermediate,Intermediate,Beginner,Professional,Video Editor
Professional,Poor,Poor,Intermediate,Beginner,Poor,Poor,Professional,Average,Poor,Professional,Poor,Poor,Average,Average,Professional,Beginner,Beginner,Video Editor
Beginner,Professional,Professional,Poor,Average,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Average,Beginner,Beginner,Intermediate,Beginner,Poor,Video Editor
Intermediate,Poor,Poor,Average,Professional,Intermediate,Beginner,Beginner,Professional,Average,Beginner,Beginner,Beginner,Beginner,Intermediate,Intermediate,Average,Average,Video Editor
Average,Intermediate,Intermediate,Professional,Poor,Intermediate,Beginner,Intermediate,Beginner,Poor,Professional,Professional,Professional,Poor,Beginner,Professional,Poor,Beginner,Video Editor
Professional,Beginner,Intermediate,Poor,Beginner,Beginner,Intermediate,Beginner,Beginner,Poor,Poor,Professional,Average,Beginner,Professional,Average,Intermediate,Average,Video Editor
Professional,Beginner,Professional,Beginner,Professional,Intermediate,Poor,Intermediate,Beginner,Intermediate,Beginner,Professional,Average,Professional,Average,Intermediate,Professional,Professional,Video Editor
Professional,Beginner,Professional,Intermediate,Professional,Average,Professional,Average,Beginner,Average,Beginner,Beginner,Professional,Beginner,Beginner,Average,Poor,Intermediate,Video Editor
Beginner,Average,Beginner,Beginner,Professional,Beginner,Poor,Intermediate,Intermediate,Average,Professional,Average,Professional,Average,Beginner,Poor,Professional,Poor,Video Editor
Professional,Beginner,Intermediate,Professional,Beginner,Average,Poor,Average,Professional,Beginner,Professional,Professional,Professional,Beginner,Professional,Intermediate,Professional,Average,Video Editor
Poor,Poor,Poor,Intermediate,Poor,Intermediate,Beginner,Professional,Poor,Average,Poor,Average,Professional,Beginner,Professional,Poor,Beginner,Average,Video Editor
Average,Beginner,Professional,Intermediate,Professional,Average,Intermediate,Intermediate,Average,Beginner,Average,Professional,Intermediate,Average,Intermediate,Average,Average,Beginner,Video Editor
Professional,Professional,Poor,Average,Beginner,Beginner,Poor,Professional,Poor,Professional,Intermediate,Average,Poor,Beginner,Beginner,Average,Average,Beginner,Video Editor
Poor,Average,Poor,Beginner,Beginner,Intermediate,Intermediate,Beginner,Beginner,Professional,Professional,Poor,Beginner,Beginner,Professional,Intermediate,Professional,Professional,Video Editor
Average,Professional,Beginner,Professional,Professional,Beginner,Professional,Beginner,Average,Beginner,Average,Intermediate,Beginner,Poor,Professional,Poor,Poor,Intermediate,Video Editor
Intermediate,Beginner,Professional,Poor,Professional,Professional,Professional,Poor,Poor,Poor,Poor,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Video Editor
Intermediate,Intermediate,Poor,Professional,Professional,Poor,Average,Poor,Professional,Professional,Professional,Poor,Intermediate,Professional,Poor,Beginner,Average,Poor,Video Editor
Average,Average,Professional,Poor,Professional,Beginner,Average,Beginner,Poor,Beginner,Average,Average,Average,Professional,Professional,Poor,Poor,Professional,Video Editor
Professional,Poor,Beginner,Professional,Beginner,Average,Average,Poor,Intermediate,Professional,Intermediate,Beginner,Average,Professional,Professional,Average,Professional,Average,Video Editor
Intermediate,Intermediate,Average,Intermediate,Beginner,Poor,Poor,Beginner,Intermediate,Poor,Professional,Professional,Professional,Intermediate,Intermediate,Average,Average,Professional,Video Editor
Poor,Intermediate,Average,Beginner,Intermediate,Poor,Intermediate,Beginner,Average,Poor,Average,Poor,Poor,Poor,Average,Professional,Average,Intermediate,Video Editor
Beginner,Poor,Beginner,Beginner,Intermediate,Poor,Professional,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Poor,Poor,Poor,Beginner,Beginner,Video Editor
Intermediate,Professional,Professional,Professional,Professional,Intermediate,Intermediate,Intermediate,Beginner,Poor,Poor,Average,Beginner,Average,Poor,Professional,Intermediate,Beginner,Video Editor
Professional,Professional,Average,Poor,Intermediate,Professional,Average,Beginner,Intermediate,Average,Beginner,Professional,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Video Editor
Beginner,Intermediate,Intermediate,Professional,Beginner,Intermediate,Intermediate,Professional,Average,Intermediate,Poor,Beginner,Professional,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Video Editor
Professional,Average,Intermediate,Average,Intermediate,Beginner,Beginner,Poor,Intermediate,Average,Professional,Poor,Poor,Average,Average,Poor,Intermediate,Beginner,Video Editor
Beginner,Average,Intermediate,Average,Professional,Poor,Poor,Average,Average,Beginner,Beginner,Professional,Beginner,Poor,Professional,Beginner,Beginner,Professional,Video Editor
Professional,Intermediate,Poor,Intermediate,Average,Intermediate,Average,Average,Professional,Beginner,Intermediate,Professional,Professional,Poor,Average,Average,Professional,Beginner,Video Editor
Poor,Average,Poor,Beginner,Poor,Poor,Professional,Poor,Professional,Beginner,Average,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Professional,Video Editor
Beginner,Average,Professional,Intermediate,Average,Professional,Beginner,Professional,Poor,Poor,Professional,Average,Professional,Professional,Beginner,Professional,Professional,Beginner,Video Editor
Intermediate,Intermediate,Professional,Poor,Beginner,Intermediate,Beginner,Average,Professional,Beginner,Intermediate,Average,Average,Professional,Beginner,Professional,Beginner,Professional,Video Editor
Professional,Average,Professional,Beginner,Intermediate,Intermediate,Poor,Intermediate,Poor,Poor,Professional,Poor,Professional,Intermediate,Intermediate,Poor,Poor,Beginner,Video Editor
Professional,Professional,Average,Beginner,Intermediate,Professional,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Poor,Average,Poor,Professional,Intermediate,Beginner,Video Editor
Intermediate,Intermediate,Poor,Average,Poor,Average,Intermediate,Intermediate,Beginner,Intermediate,Poor,Average,Intermediate,Intermediate,Intermediate,Poor,Average,Beginner,Video Editor
Poor,Poor,Poor,Poor,Average,Professional,Professional,Average,Poor,Professional,Average,Poor,Average,Poor,Intermediate,Intermediate,Professional,Professional,Video Editor
Beginner,Intermediate,Poor,Professional,Professional,Professional,Intermediate,Poor,Professional,Intermediate,Average,Average,Professional,Professional,Professional,Professional,Intermediate,Poor,Video Editor
Average,Poor,Intermediate,Intermediate,Poor,Average,Average,Poor,Intermediate,Beginner,Average,Beginner,Beginner,Poor,Professional,Average,Beginner,Intermediate,Video Editor
Beginner,Average,Beginner,Intermediate,Professional,Intermediate,Beginner,Intermediate,Average,Poor,Intermediate,Intermediate,Intermediate,Average,Professional,Average,Beginner,Intermediate,Video Editor
Average,Poor,Average,Beginner,Average,Intermediate,Professional,Average,Average,Poor,Professional,Poor,Professional,Beginner,Poor,Average,Beginner,Beginner,Video Editor
Poor,Beginner,Average,Poor,Poor,Professional,Poor,Beginner,Professional,Beginner,Beginner,Average,Beginner,Professional,Poor,Average,Average,Poor,Video Editor
Poor,Poor,Average,Professional,Professional,Poor,Poor,Poor,Professional,Average,Intermediate,Beginner,Poor,Average,Intermediate,Beginner,Beginner,Poor,Video Editor
Beginner,Professional,Poor,Poor,Professional,Poor,Professional,Professional,Beginner,Poor,Professional,Professional,Beginner,Intermediate,Intermediate,Average,Beginner,Intermediate,Video Editor
Poor,Intermediate,Professional,Average,Poor,Intermediate,Professional,Beginner,Beginner,Average,Professional,Poor,Beginner,Average,Intermediate,Beginner,Poor,Professional,Video Editor
Average,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Beginner,Average,Professional,Poor,Intermediate,Poor,Poor,Beginner,Poor,Average,Intermediate,Video Editor
Poor,Average,Poor,Intermediate,Average,Intermediate,Poor,Professional,Average,Intermediate,Poor,Poor,Intermediate,Intermediate,Intermediate,Professional,Professional,Average,Video Editor
Poor,Poor,Beginner,Intermediate,Intermediate,Poor,Professional,Average,Poor,Intermediate,Professional,Intermediate,Poor,Poor,Average,Average,Poor,Professional,Video Editor
Professional,Professional,Poor,Professional,Average,Average,Professional,Average,Beginner,Professional,Professional,Poor,Intermediate,Poor,Poor,Average,Beginner,Average,Video Editor
Intermediate,Poor,Average,Professional,Average,Poor,Intermediate,Beginner,Poor,Professional,Average,Average,Intermediate,Average,Intermediate,Average,Beginner,Professional,Video Editor
Beginner,Average,Average,Average,Intermediate,Poor,Beginner,Poor,Professional,Poor,Average,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Video Editor
Professional,Professional,Average,Intermediate,Professional,Beginner,Average,Poor,Intermediate,Average,Average,Professional,Intermediate,Beginner,Average,Poor,Beginner,Professional,Video Editor
Intermediate,Intermediate,Poor,Intermediate,Poor,Intermediate,Professional,Poor,Average,Professional,Professional,Poor,Intermediate,Beginner,Intermediate,Poor,Poor,Professional,Video Editor
Professional,Poor,Beginner,Average,Average,Intermediate,Professional,Poor,Professional,Intermediate,Beginner,Average,Intermediate,Average,Average,Average,Intermediate,Average,Video Editor
Intermediate,Average,Professional,Average,Professional,Average,Beginner,Intermediate,Professional,Poor,Average,Average,Intermediate,Poor,Professional,Beginner,Beginner,Intermediate,Video Editor
Intermediate,Average,Average,Professional,Intermediate,Poor,Professional,Professional,Average,Average,Average,Beginner,Professional,Professional,Poor,Intermediate,Intermediate,Professional,Video Editor
Intermediate,Professional,Intermediate,Poor,Professional,Professional,Professional,Average,Beginner,Average,Intermediate,Intermediate,Professional,Poor,Poor,Intermediate,Beginner,Intermediate,Video Editor
Poor,Intermediate,Poor,Intermediate,Average,Poor,Average,Professional,Professional,Average,Poor,Poor,Intermediate,Professional,Professional,Beginner,Professional,Beginner,Video Editor
Intermediate,Intermediate,Average,Average,Average,Intermediate,Beginner,Professional,Beginner,Average,Beginner,Poor,Professional,Poor,Poor,Poor,Beginner,Professional,Video Editor
Poor,Intermediate,Beginner,Average,Professional,Average,Intermediate,Intermediate,Beginner,Professional,Poor,Professional,Poor,Beginner,Beginner,Average,Intermediate,Intermediate,Video Editor
Intermediate,Poor,Intermediate,Average,Intermediate,Average,Poor,Poor,Intermediate,Poor,Professional,Poor,Professional,Beginner,Average,Intermediate,Professional,Professional,Video Editor
Average,Beginner,Professional,Professional,Professional,Beginner,Beginner,Professional,Professional,Beginner,Intermediate,Intermediate,Professional,Intermediate,Beginner,Intermediate,Poor,Average,Video Editor
Professional,Professional,Intermediate,Professional,Beginner,Intermediate,Poor,Professional,Poor,Average,Intermediate,Intermediate,Poor,Average,Beginner,Average,Intermediate,Poor,Video Editor
Intermediate,Poor,Beginner,Beginner,Intermediate,Professional,Poor,Beginner,Intermediate,Professional,Beginner,Beginner,Poor,Average,Professional,Average,Intermediate,Intermediate,Video Editor
Poor,Beginner,Professional,Average,Intermediate,Beginner,Average,Poor,Average,Intermediate,Poor,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Beginner,Beginner,Video Editor
Poor,Beginner,Average,Beginner,Beginner,Poor,Average,Poor,Poor,Professional,Professional,Average,Average,Professional,Intermediate,Beginner,Average,Professional,Video Editor
Professional,Professional,Poor,Professional,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Average,Intermediate,Poor,Intermediate,Beginner,Beginner,Video Editor
Poor,Intermediate,Intermediate,Average,Poor,Average,Poor,Average,Average,Professional,Professional,Average,Poor,Beginner,Average,Intermediate,Professional,Professional,Video Editor
Average,Professional,Poor,Beginner,Intermediate,Beginner,Poor,Intermediate,Professional,Professional,Professional,Average,Poor,Poor,Intermediate,Beginner,Beginner,Professional,Video Editor
Beginner,Average,Intermediate,Poor,Average,Average,Beginner,Poor,Intermediate,Beginner,Professional,Professional,Intermediate,Professional,Professional,Intermediate,Poor,Average,Video Editor
Intermediate,Average,Intermediate,Average,Average,Intermediate,Intermediate,Intermediate,Beginner,Professional,Intermediate,Average,Poor,Intermediate,Beginner,Professional,Average,Beginner,Video Editor
Beginner,Average,Intermediate,Intermediate,Poor,Beginner,Intermediate,Poor,Professional,Professional,Professional,Intermediate,Intermediate,Beginner,Beginner,Beginner,Poor,Professional,Video Editor
Poor,Professional,Poor,Professional,Professional,Poor,Beginner,Poor,Intermediate,Average,Poor,Beginner,Poor,Poor,Average,Poor,Beginner,Intermediate,Video Editor
Beginner,Average,Intermediate,Poor,Poor,Intermediate,Poor,Professional,Average,Intermediate,Intermediate,Beginner,Beginner,Poor,Professional,Intermediate,Poor,Beginner,Video Editor
Intermediate,Average,Poor,Beginner,Average,Professional,Poor,Average,Average,Poor,Poor,Professional,Average,Poor,Beginner,Average,Average,Beginner,Video Editor
Professional,Intermediate,Poor,Poor,Average,Professional,Beginner,Professional,Intermediate,Intermediate,Intermediate,Average,Average,Poor,Poor,Average,Beginner,Poor,Video Editor
Average,Beginner,Professional,Intermediate,Professional,Beginner,Average,Beginner,Intermediate,Poor,Poor,Average,Poor,Beginner,Poor,Intermediate,Average,Average,Video Editor
Poor,Intermediate,Professional,Beginner,Average,Average,Beginner,Average,Professional,Average,Beginner,Beginner,Intermediate,Poor,Professional,Beginner,Average,Average,Video Editor
Average,Beginner,Professional,Intermediate,Average,Professional,Poor,Professional,Average,Intermediate,Poor,Professional,Beginner,Poor,Average,Intermediate,Professional,Poor,Video Editor
Average,Average,Intermediate,Poor,Professional,Intermediate,Average,Intermediate,Poor,Professional,Beginner,Poor,Average,Intermediate,Beginner,Beginner,Professional,Poor,Video Editor
Intermediate,Beginner,Average,Intermediate,Average,Poor,Professional,Intermediate,Beginner,Professional,Intermediate,Intermediate,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Video Editor
Average,Average,Poor,Poor,Professional,Intermediate,Beginner,Poor,Average,Intermediate,Beginner,Beginner,Poor,Average,Poor,Intermediate,Beginner,Average,Video Editor
Beginner,Average,Beginner,Average,Beginner,Poor,Average,Professional,Average,Professional,Poor,Beginner,Beginner,Professional,Beginner,Professional,Beginner,Beginner,Video Editor
Professional,Intermediate,Average,Poor,Poor,Intermediate,Average,Average,Beginner,Average,Average,Beginner,Intermediate,Intermediate,Beginner,Poor,Professional,Intermediate,Video Editor
Average,Poor,Intermediate,Beginner,Average,Average,Intermediate,Poor,Poor,Intermediate,Beginner,Beginner,Professional,Poor,Professional,Beginner,Intermediate,Average,Video Editor
Intermediate,Beginner,Professional,Beginner,Professional,Poor,Intermediate,Poor,Average,Beginner,Professional,Poor,Poor,Beginner,Average,Intermediate,Beginner,Beginner,Video Editor
Average,Average,Average,Beginner,Intermediate,Professional,Intermediate,Poor,Poor,Average,Average,Beginner,Beginner,Intermediate,Average,Professional,Beginner,Average,Video Editor
Intermediate,Beginner,Intermediate,Intermediate,Poor,Average,Poor,Average,Beginner,Professional,Beginner,Beginner,Average,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Video Editor
Average,Intermediate,Professional,Poor,Average,Intermediate,Beginner,Professional,Average,Beginner,Beginner,Beginner,Professional,Intermediate,Intermediate,Professional,Average,Average,Video Editor
Professional,Poor,Beginner,Professional,Beginner,Intermediate,Average,Poor,Professional,Beginner,Intermediate,Intermediate,Average,Professional,Intermediate,Beginner,Average,Poor,Video Editor
Professional,Average,Poor,Intermediate,Beginner,Intermediate,Beginner,Beginner,Poor,Intermediate,Beginner,Intermediate,Average,Poor,Professional,Intermediate,Intermediate,Average,Video Editor
